promise_id,update_date,progress_details
PROM009,2024-01-15,เริ่มสำรวจพื้นที่และออกแบบสะพานแล้ว
PROM009,2024-02-20,ได้รับอนุมัติงบประมาณและเริ่มก่อสร้างแล้ว
PROM010,2024-01-20,จัดหาพื้นที่และเตรียมสถานที่เรียบร้อย
PROM010,2024-02-10,เริ่มเปิดตลาดนัดแล้วทุกวันอาทิตย์
PROM011,2024-01-25,สร้างห้องสมุดแห่งแรกเสร็จแล้ว
PROM011,2024-02-15,กำลังสร้างห้องสมุดแห่งที่ 2 และ 3
PROM012,2024-02-01,กำลังปรับปรุงเส้นทางและเพิ่มรถเมล์
PROM013,2024-02-05,เริ่มเปิดอบรมหลักสูตรแรกแล้ว
PROM014,2024-02-10,จัดตั้งกองทุนและเริ่มรับสมัครสมาชิก
PROM015,2024-02-20,กำลังก่อสร้างอาคารโรงพยาบาล
PROM016,2024-02-25,ติดตั้งเสาสัญญาณในพื้นที่ห่างไกล
PROM017,2024-03-01,เปิดศูนย์ดูแลเด็กเล็กแล้ว
PROM018,2024-03-05,เริ่มจ่ายเงินช่วยเหลือผู้พิการแล้ว
PROM019,2024-03-10,กำลังจัดหาอุปกรณ์และเตรียมสถานที่
PROM020,2023-11-15,เริ่มสำรวจพื้นที่
PROM021,2023-11-20,กำลังศึกษาความเป็นไปได้
PROM022,2023-11-25,เริ่มวางแผนโครงการ
PROM001,2026-02-07,เริ่มลงดูพื้นที่
PROM009,2026-02-07,การก่อสร้าง Phase 1 สำเร็จ กำลังอยู่ในช่วงตรวจสอบ
